id_fonction; catalytic activity; keywords_biological_process; keywords_molecular_function; keywords_cellular_component
FU0; None; None; None; None
FU1; None; None; None; Cytoplasm, Nucleus
FU2; None; None; None; Cytoplasm, Nucleus
FU3; None; None; None; None
FU4; None; None; None; Cytoplasm, Nucleus
FU5; None; None; None; Cytoplasm, Nucleus
FU6; None; None; None; None
FU7; None; None; None; None
FU8; S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.; Ethylene biosynthesis, Fruit ripening; Lyase; None
FU9; None; None; None; None
FU10; None; None; None; None
FU11; ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.; Phenylpropanoid metabolism; Ligase; None
FU12; ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.; Phenylpropanoid metabolism; Ligase; None
FU13; ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.; Phenylpropanoid metabolism; Ligase; None
FU14; ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.; Phenylpropanoid metabolism; Ligase; None
FU15; None; None; Ligase; None
FU16; None; None; Ligase; None
FU17; None; None; Ligase; None
FU18; None; None; Ligase; None
FU19; None; None; Ligase; None
FU20; None; None; Ligase; None
FU21; ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.; Phenylpropanoid metabolism; Ligase; None
FU22; None; None; Ligase; None
FU23; None; None; Ligase; None
FU24; None; None; Ligase; None
FU25; 6-phospho-D-gluconate + NADP(+) = D-ribulose 5-phosphate + CO(2) + NADPH.; Gluconate utilization, Pentose shunt; Oxidoreductase; Chloroplast, Plastid
FU26; 6-phospho-D-gluconate + NADP(+) = D-ribulose 5-phosphate + CO(2) + NADPH.; Gluconate utilization, Pentose shunt; Oxidoreductase; Cytoplasm
FU27; 6-phospho-D-glucono-1,5-lactone + H(2)O = 6-phospho-D-gluconate.; None; Hydrolase; None
FU28; 6-phospho-D-glucono-1,5-lactone + H(2)O = 6-phospho-D-gluconate.; None; Hydrolase; None
FU29; 6-phospho-D-glucono-1,5-lactone + H(2)O = 6-phospho-D-gluconate.; None; Hydrolase; Chloroplast, Plastid
FU30; 6-phospho-D-glucono-1,5-lactone + H(2)O = 6-phospho-D-gluconate.; None; Hydrolase; Chloroplast, Plastid
FU31; Allantoate + H(2)O = (S)-ureidoglycine + NH(3) + CO(2).; Purine metabolism; Hydrolase; Endoplasmic reticulum
FU32; L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.; None; Aminotransferase, Transferase; Cytoplasm
FU33; None; Transport; Hydrolase; Membrane
FU34; None; Transport; None; Membrane, Vacuole
FU35; None; Transport; None; Membrane
FU36; None; Transport; None; Membrane
FU37; None; Transport; None; Membrane
FU38; None; Transport; None; Membrane
FU39; None; Transport; None; Membrane
FU40; None; Transport; None; Membrane
FU41; None; Transport; None; Membrane
FU42; None; Transport; None; Membrane
FU43; None; Transport; None; Membrane
FU44; None; Transport; None; Membrane
FU45; None; Transport; None; Membrane
FU46; None; Transport; None; Membrane
FU47; None; Transport; None; Membrane
FU48; None; Transport; None; Membrane
FU49; None; Transport; None; Membrane
FU50; None; Transport; None; Membrane
FU51; None; Transport; None; Membrane
FU52; None; Transport; None; Membrane
FU53; None; Transport; None; Membrane
FU54; None; Transport; None; Membrane
FU55; None; Transport; None; Membrane
FU56; None; Transport; None; Membrane
FU57; None; Stress response, Transport; Developmental protein; Cell membrane, Membrane
FU58; (+)-abscisate + NADPH + O(2) = 8'-hydroxyabscisate + NADP(+) + H(2)O.; Stress response; Monooxygenase, Oxidoreductase; Endoplasmic reticulum, Membrane
FU59; (+)-abscisate + NADPH + O(2) = 8'-hydroxyabscisate + NADP(+) + H(2)O.; None; Monooxygenase, Oxidoreductase; Membrane
FU60; (+)-abscisate + NADPH + O(2) = 8'-hydroxyabscisate + NADP(+) + H(2)O.; None; Monooxygenase, Oxidoreductase; Membrane
FU61; None; Stress response, Transcription, Transcription regulation; None; Nucleus
FU62; None; None; None; Cytoplasm, Cytoskeleton
FU63; None; None; None; Cytoplasm, Cytoskeleton
FU64; None; None; None; Cytoplasm, Cytoskeleton
FU65; None; None; None; Cytoplasm, Cytoskeleton
FU66; None; None; None; Cytoplasm, Cytoskeleton
FU67; ATP + H(2)O + Ca(2+)(Side 1) = ADP + phosphate + Ca(2+)(Side 2).; Calcium transport, Ion transport, Transport; Hydrolase; Membrane
FU68; ATP + H(2)O + Ca(2+)(Side 1) = ADP + phosphate + Ca(2+)(Side 2).; Calcium transport, Ion transport, Transport; Hydrolase; Membrane
FU69; ATP + H(2)O + Ca(2+)(Side 1) = ADP + phosphate + Ca(2+)(Side 2).; Calcium transport, Ion transport, Transport; Hydrolase; Membrane
FU70; ATP + H(2)O + Ca(2+)(Side 1) = ADP + phosphate + Ca(2+)(Side 2).; Calcium transport, Ion transport, Transport; Hydrolase; Membrane
FU71; ATP + H(2)O + Ca(2+)(Side 1) = ADP + phosphate + Ca(2+)(Side 2).; Calcium transport, Ion transport, Transport; Hydrolase; Membrane
FU72; ATP + H(2)O + Ca(2+)(Side 1) = ADP + phosphate + Ca(2+)(Side 2).; Calcium transport, Ion transport, Transport; Hydrolase; Membrane
FU73; ATP + acetyl-CoA + HCO(3)(-) = ADP + phosphate + malonyl-CoA., ATP + biotin-[carboxyl-carrier-protein] + HCO(3)(-) = ADP + phosphate + carboxy-biotin-[carboxyl-carrier-protein].; Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism; Ligase; Cytoplasm
FU74; (3S)-2,3-epoxy-2,3-dihydrosqualene = achilleol B.; None; Isomerase; Membrane
