id; similarity
0; Belongs to the 14-3-3 family.
1; Belongs to the 14-3-3 family.
2; Belongs to the 14-3-3 family.
3; Belongs to the 14-3-3 family.
4; Belongs to the 14-3-3 family.
5; Belongs to the 14-3-3 family.
6; Belongs to the 14-3-3 family.
7; Belongs to the 14-3-3 family.
8; Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family.
9; Belongs to the phosphatase 2A regulatory subunit B family., Contains 6 WD repeats.
10; Belongs to the phosphatase 2A regulatory subunit B family., Contains 6 WD repeats.
11; Belongs to the ATP-dependent AMP-binding enzyme family.
12; Belongs to the ATP-dependent AMP-binding enzyme family.
13; Belongs to the ATP-dependent AMP-binding enzyme family.
14; Belongs to the ATP-dependent AMP-binding enzyme family.
15; Belongs to the ATP-dependent AMP-binding enzyme family.
16; Belongs to the ATP-dependent AMP-binding enzyme family.
17; Belongs to the ATP-dependent AMP-binding enzyme family.
18; Belongs to the ATP-dependent AMP-binding enzyme family.
19; Belongs to the ATP-dependent AMP-binding enzyme family.
20; Belongs to the ATP-dependent AMP-binding enzyme family.
21; Belongs to the ATP-dependent AMP-binding enzyme family.
22; Belongs to the ATP-dependent AMP-binding enzyme family.
23; Belongs to the ATP-dependent AMP-binding enzyme family.
24; Belongs to the ATP-dependent AMP-binding enzyme family.
25; Belongs to the 6-phosphogluconate dehydrogenase family.
26; Belongs to the 6-phosphogluconate dehydrogenase family.
27; Belongs to the glucosamine/galactosamine-6-phosphate isomerase family. 6-phosphogluconolactonase subfamily.
28; Belongs to the glucosamine/galactosamine-6-phosphate isomerase family. 6-phosphogluconolactonase subfamily.
29; Belongs to the glucosamine/galactosamine-6-phosphate isomerase family. 6-phosphogluconolactonase subfamily.
30; Belongs to the glucosamine/galactosamine-6-phosphate isomerase family. 6-phosphogluconolactonase subfamily.
31; Belongs to the peptidase M20A family.
32; Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family.
33; Belongs to the ABC transporter superfamily. ABCC family. Conjugate transporter (TC 3.A.1.208) subfamily., Contains 2 ABC transmembrane type-1 domains., Contains 2 ABC transporter domains.
34; Belongs to the ABC transporter superfamily. ABCB family. Multidrug resistance exporter (TC 3.A.1.201) subfamily., Contains 1 ABC transmembrane type-1 domain., Contains 1 ABC transporter domain.
35; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
36; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
37; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
38; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
39; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
